StudentID,CGPA,Internships,Projects,Workshops_Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
STU00530,6.69,1,2,0,78.3,3.2,Yes,Yes,70,59.4,Placed
STU05462,8.09,1,2,2,64.2,3.4,Yes,Yes,96.7,88.4,Placed
STU04759,6.9,0,2,1,72.2,4.7,Yes,Yes,62.3,86,Placed
STU09166,7.44,3,2,2,91.5,2.4,Yes,No,62.4,86.3,Placed
STU00044,7.23,0,2,0,56.7,3.1,Yes,Yes,80.6,92.4,NotPlaced
STU01957,5.58,1,1,1,79.1,3.4,Yes,No,77.1,70.3,NotPlaced
STU06279,6.41,0,2,0,100,3.1,Yes,Yes,65.4,82.7,NotPlaced
STU04656,9.44,0,1,2,75.8,4.2,Yes,No,75.1,73.5,Placed
STU07662,7.63,1,1,1,74.4,3,Yes,Yes,86.7,86.4,Placed
STU09328,8.47,1,2,2,73.5,4.1,No,No,99.3,85.9,Placed
STU06639,7.14,1,1,2,63.6,3.8,Yes,No,66.8,74.5,NotPlaced
STU04645,8.07,2,1,1,59.6,2.7,Yes,Yes,57.6,70.7,Placed
STU07008,8.72,1,1,2,50.9,4.5,No,No,62.6,64.9,NotPlaced
STU02345,5.56,3,2,3,55.8,4.4,Yes,No,75.4,61.5,Placed
STU08322,6.31,1,3,1,62.5,4.2,Yes,Yes,74.7,83.1,Placed
STU07611,7.71,2,1,3,66,2.1,No,Yes,61,55.1,Placed
STU01994,8.14,2,4,0,74.7,3.1,Yes,No,74.7,65.7,Placed
STU02474,6.26,3,2,2,63.7,2.8,Yes,Yes,58.9,90,Placed
STU05955,7.98,1,3,1,74.1,3.1,Yes,Yes,70,72.4,Placed
STU05444,7.01,0,1,1,58.8,4.2,Yes,Yes,55.2,85,NotPlaced
STU03658,5.62,0,2,1,67.3,3.8,Yes,No,72.6,68.2,NotPlaced
STU00156,6.86,1,2,1,63.6,3.2,Yes,No,76.2,54.1,NotPlaced
STU09884,7.9,1,3,3,60,2.9,Yes,Yes,52,71.5,Placed
STU04800,8.17,0,2,1,63.9,4.2,No,No,77,88.6,NotPlaced
STU00072,8.88,1,3,1,76.1,3,No,Yes,46.6,65,Placed
STU08481,7.21,3,1,2,74,4.4,No,No,62.2,92.6,Placed
STU09879,6.5,2,2,2,71.4,3.7,Yes,Yes,54.3,58.8,Placed
STU04162,7.93,1,1,2,86.6,4.2,Yes,Yes,96.3,77.3,Placed
STU07790,8.52,1,2,0,69.8,3.8,Yes,Yes,65.1,84.4,Placed
STU07856,6.73,2,2,0,83.8,4.3,No,Yes,84.7,94.3,Placed
STU03353,7.89,1,2,1,79.6,3.2,Yes,Yes,62.8,77.6,Placed
STU08255,7.6,0,2,1,80.1,3.1,Yes,Yes,57,100,Placed
STU06513,6.81,2,0,1,69.8,4.2,Yes,No,58.4,91.9,NotPlaced
STU07546,7.92,1,2,1,60.5,3.2,Yes,No,78.3,75.8,Placed
STU01745,6.67,1,3,0,75.7,4,Yes,Yes,62.2,71.5,Placed
STU08026,7.38,3,2,2,66.3,4.1,Yes,No,56.1,64.6,Placed
STU07070,5.63,1,2,1,75.3,3.1,No,Yes,85.7,77.1,NotPlaced
STU04696,7.32,0,1,0,75,4.7,Yes,Yes,64.7,69.8,NotPlaced
STU00229,6.86,1,2,1,78.5,3.6,No,Yes,73.6,79.5,Placed
STU06406,8.7,1,0,1,73.7,3.8,No,Yes,58.8,90.7,NotPlaced
STU05796,7.4,0,0,3,60.4,2.3,Yes,No,67.4,56.1,NotPlaced
STU04880,8.37,1,2,1,71.9,5,Yes,Yes,92.4,77.8,Placed
STU04939,8.38,0,2,2,72.9,3.7,No,No,81.9,68.1,NotPlaced
STU01113,8.28,3,2,3,62.3,3.5,Yes,Yes,71.6,40.2,Placed
STU08558,9.43,3,1,2,79.1,4.9,Yes,No,85,61.7,Placed
STU09629,6.72,2,2,2,77.9,2.8,No,Yes,85.4,79.3,Placed
STU09560,7.2,1,1,1,92.7,1,Yes,Yes,53.3,74.9,Placed
STU06091,8.17,1,2,1,86.1,3.9,No,Yes,63.9,77.1,NotPlaced
STU06478,6.68,0,4,3,60.1,4,No,Yes,65.6,75.2,Placed
STU08168,8.15,1,1,2,62.8,3.9,No,Yes,66.2,69.6,Placed
STU00737,7.73,0,2,1,73.9,5,Yes,Yes,80.2,57.7,NotPlaced
STU09253,7.11,0,0,1,73.8,3.2,Yes,Yes,84,48.8,NotPlaced
STU09174,6.46,2,2,1,79.3,3.4,Yes,Yes,68.5,67.2,Placed
STU02948,5,1,2,2,83.5,3.8,Yes,Yes,78.9,72.5,Placed
STU05916,6.7,2,3,1,68.3,3,Yes,Yes,58.5,72.6,Placed
STU03126,8.17,2,2,2,64.7,2.9,Yes,No,74.6,80.9,Placed
STU06869,7.03,1,3,1,80,3.3,Yes,Yes,76.6,66.9,Placed
STU08851,9.18,0,2,1,77.1,3.8,Yes,No,85,100,Placed
STU02219,9.39,1,1,3,69.4,4.6,No,No,74.3,49.5,Placed
STU00500,6.26,0,3,3,85.1,4.6,No,Yes,81.5,70.3,Placed
STU08548,8.56,0,1,0,58.1,2.5,Yes,Yes,53.2,85.3,NotPlaced
STU06822,9.15,0,2,2,64.6,3,No,Yes,80.4,70.3,NotPlaced
STU03238,6.37,0,1,0,74,3.6,Yes,Yes,73.9,72.9,NotPlaced
STU04840,6.91,1,1,1,66.2,3.7,Yes,No,84.1,72.4,NotPlaced
STU08047,6.93,0,2,1,93.5,4.2,Yes,Yes,87.2,78.2,Placed
STU04049,7.41,0,1,2,68,5,Yes,No,88.3,81.4,Placed
STU05046,8.46,1,1,0,77.1,4,Yes,Yes,55.3,85.6,Placed
STU02631,7.77,1,1,0,87.3,4.3,Yes,No,84.3,64.7,Placed
STU03701,8.46,1,1,0,64.1,2.8,No,No,70.5,63.2,NotPlaced
STU08356,8.36,0,3,1,69.2,3,Yes,Yes,68.1,84.1,Placed
STU06622,7.67,1,2,2,82.2,3.5,Yes,No,81.8,48.8,Placed
STU03037,7.19,0,1,0,52.3,2.2,Yes,Yes,72.9,77.7,NotPlaced
STU02368,5.96,2,2,0,73.8,3.6,Yes,Yes,57.6,78,Placed
STU09322,7.13,1,1,2,61.3,4.1,No,Yes,82.2,71.1,Placed
STU06807,6.68,1,2,0,85.3,3.2,No,Yes,61.3,68.8,Placed
STU09542,6.98,1,0,1,78.7,3.1,No,No,68.3,84.3,NotPlaced
STU00231,6.84,2,0,3,83.7,4.3,Yes,Yes,92.3,58.9,Placed
STU05315,6.91,1,3,1,69.5,3.3,No,Yes,65.2,64.8,Placed
STU02492,6.88,1,2,1,78,4.4,Yes,Yes,68.7,95.9,Placed
STU06762,7.32,1,0,0,68.4,4.4,Yes,No,84.4,72.1,NotPlaced
STU06557,7.4,0,2,2,79.4,3.5,Yes,Yes,76.1,82.5,Placed
STU05381,6.97,0,1,3,60,3.9,Yes,Yes,56.8,66.7,Placed
STU08730,7.29,0,0,1,67.9,4.4,No,Yes,60.5,75.6,NotPlaced
STU02805,7.41,1,3,0,69.7,4.1,Yes,No,77.3,70.8,Placed
STU08003,7.34,0,1,1,65.4,4.5,Yes,No,73,84.9,NotPlaced
STU06218,6.42,1,0,1,77.7,4,No,Yes,83.1,66.4,NotPlaced
STU04701,6.61,1,2,0,83.2,4,No,No,62.8,40.5,NotPlaced
STU03156,6.03,1,0,1,81.3,3.5,Yes,No,66.6,72,NotPlaced
STU04687,6.78,0,1,2,91,3.9,No,No,78.1,54.1,NotPlaced
STU06741,5.96,1,1,1,72.3,2.9,Yes,Yes,91.2,85.2,NotPlaced
STU07656,7.2,2,0,2,68.3,3.8,Yes,No,69.5,61.5,Placed
STU05169,6.81,0,0,1,67.9,2.9,No,No,84.2,89.5,NotPlaced
STU01728,8.23,1,0,2,56.3,3.6,Yes,Yes,84.5,72.7,Placed
STU09369,8.38,1,1,0,83.5,2.3,Yes,Yes,65.6,56.4,Placed
STU00588,6.74,0,3,2,62.8,3.8,No,Yes,56.6,75.9,Placed
STU02034,7.95,0,4,1,67.6,4.2,Yes,Yes,77.4,73.9,Placed
STU00158,7.93,0,3,1,63.2,4.7,Yes,No,75.6,93.2,Placed
STU01190,6.63,2,4,1,74.5,3.6,Yes,Yes,71.5,59.2,Placed
STU03029,7.04,2,2,2,58.9,1.8,Yes,Yes,69.2,69.3,Placed
STU09445,8.79,1,2,2,67.7,3,Yes,No,83.3,72.9,Placed
STU01301,6.9,2,2,1,70.7,2.5,Yes,No,76.7,87.6,Placed
STU08203,7.01,1,2,2,77.2,3.1,No,Yes,51.7,66,Placed
STU02807,7.43,1,2,2,93.1,4.5,Yes,Yes,57.8,87.8,Placed
STU05661,7.45,0,1,1,74.3,3.6,Yes,Yes,64.7,91.4,NotPlaced
STU05732,7.54,0,0,2,75.6,3.2,Yes,No,60.3,60.7,NotPlaced
STU09641,5.97,3,1,0,73,3.7,No,No,74.3,70.1,NotPlaced
STU00329,8.06,1,3,1,73.5,2.9,Yes,No,56.1,81.3,Placed
STU00106,7.86,1,1,3,51,3.8,Yes,Yes,63.4,56.6,Placed
STU06420,7.29,2,1,1,64.9,1.5,Yes,No,81.3,62.7,NotPlaced
STU08519,6.93,1,3,0,68.3,3.6,Yes,Yes,63.2,61.6,Placed
STU06195,5.06,0,1,1,61.1,5,Yes,No,70.5,76.2,NotPlaced
STU06556,6.24,3,0,1,78.9,3.4,Yes,Yes,87,73.7,Placed
STU05645,8.18,1,2,2,85.9,3.7,No,Yes,53.1,67.2,Placed
STU02100,8.24,3,2,2,83.4,3.4,Yes,No,75.2,67.6,Placed
STU04382,7.66,0,3,0,61.3,2.3,Yes,No,83.8,53.4,NotPlaced
STU04436,8.13,1,3,3,79.2,2.9,No,No,59.5,71.8,Placed
STU02633,7.68,3,2,0,51.7,4.2,Yes,No,71.1,82,Placed
STU06270,7.94,2,2,1,65.3,4.4,No,Yes,68.4,83.2,Placed
STU05283,8.42,2,1,1,58.6,4,No,No,79.5,51.6,Placed
STU05605,7.88,1,2,0,74.8,3.6,No,No,65.8,52.8,Placed
STU08870,6.27,0,3,1,74.3,2.7,No,No,79.1,70.8,NotPlaced
STU05804,9.14,2,2,1,59.5,2.4,No,Yes,68.5,94,Placed
STU04646,8.95,1,1,2,67.2,3.8,Yes,Yes,62.5,61.3,Placed
STU07177,8.57,1,0,0,61.4,3.5,No,Yes,65.7,64.2,NotPlaced
STU06984,6.9,1,2,3,65.8,2.4,Yes,No,85.1,79.5,Placed
STU01241,7.16,2,2,2,72.1,4.5,Yes,No,96.1,67.8,Placed
STU03019,7.09,2,2,1,66,3.7,Yes,Yes,68.4,83.5,Placed
STU03755,6.88,0,1,1,71.1,2.2,Yes,No,69.7,64.4,NotPlaced
STU03143,7.41,0,2,1,65,4.9,No,No,86.3,74.3,NotPlaced
STU09922,7.7,3,1,1,85,4,Yes,Yes,60.9,56.2,Placed
STU01636,7.14,0,0,2,53.5,3.4,Yes,No,59,70.3,NotPlaced
STU00174,7.81,1,3,0,73.9,3.3,Yes,No,72.5,58.1,Placed
STU03069,7.7,0,2,2,67,3.1,No,No,69.1,64.7,NotPlaced
STU02473,6.79,1,1,0,71.3,2.8,Yes,Yes,69.8,66.3,NotPlaced
STU08542,6.27,0,2,1,78.3,3.6,No,No,96.7,52.4,NotPlaced
STU08572,7.87,1,2,2,93.6,4,No,No,52.7,65.6,Placed
STU00256,7.06,2,1,1,72.6,2.9,Yes,Yes,74.2,50.1,Placed
STU05448,9.09,0,1,1,75.8,2.6,No,No,48.9,86.1,NotPlaced
STU00990,7.52,1,1,2,57.1,4,Yes,Yes,89.6,45.4,Placed
STU01854,8.33,2,1,2,61.5,3.8,Yes,Yes,55.2,74.8,Placed
STU05712,6.57,1,4,1,71.3,3.3,No,No,90.9,62.9,Placed
STU02338,7.54,0,0,1,68.1,2.4,No,No,68.6,51.8,NotPlaced
STU07266,6.91,1,2,0,82.9,3,Yes,No,69.1,67.2,NotPlaced
STU03987,8,2,2,1,71.1,3.7,Yes,No,55.7,80.7,Placed
STU02657,6.52,0,2,1,58.4,3,No,Yes,79.5,93.6,NotPlaced
STU07634,8.13,0,1,2,75.8,2.9,Yes,Yes,75.8,64.5,Placed
STU05058,7.52,2,0,2,57.7,4.6,No,Yes,56,62.7,NotPlaced
STU03434,7.41,0,3,1,69.7,2.7,No,Yes,76.1,53.4,NotPlaced
STU02644,6.91,1,1,0,73.6,4.4,No,No,72.4,59.1,NotPlaced
STU02229,5.82,1,2,1,77,3.1,No,Yes,55.1,88.1,NotPlaced
STU05115,7.38,1,3,1,76.1,3.4,No,Yes,82.2,63.7,Placed
STU09703,8.03,0,2,1,77.9,2.4,No,Yes,73.7,64.8,NotPlaced
STU03371,7.43,1,1,1,87.6,4.3,Yes,Yes,74.5,82.4,Placed
STU01269,6.84,1,2,1,77.8,4.2,Yes,No,71.8,59.2,NotPlaced
STU02674,7.02,1,3,3,55.5,4,No,Yes,70.5,61.5,Placed
STU09894,7.31,1,4,0,86.5,4.4,Yes,Yes,100,71.4,Placed
STU01390,6.82,2,0,0,87.2,3.1,Yes,No,61.7,48,Placed
STU08456,8.16,2,1,0,74.9,3.2,Yes,No,54.3,67.1,Placed
STU04422,6.52,3,3,0,70.6,4.2,Yes,Yes,75.9,84.6,Placed
STU01124,6.47,0,2,1,63.8,3,No,Yes,57.7,68.2,NotPlaced
STU00414,8.65,0,3,3,91.4,4.2,Yes,Yes,66.4,49.7,Placed
STU02397,6.67,0,2,0,84.2,3.5,No,Yes,91.3,44.6,NotPlaced
STU09486,8.67,0,4,3,71.3,4.4,No,No,61.8,73,Placed
STU00531,8.07,1,2,1,57.4,2.7,Yes,Yes,65.5,44.3,Placed
STU00741,5.84,0,1,3,72.3,2.9,Yes,No,72,96.4,NotPlaced
STU03112,7.25,3,1,0,69,3.1,No,Yes,60.5,68.4,Placed
STU03825,6.9,1,0,2,81.6,3.3,Yes,Yes,96.4,49.1,Placed
STU04044,7.77,1,3,2,65.3,2.5,No,Yes,82.2,72.7,Placed
STU00711,7.69,1,2,2,73.3,2.9,No,Yes,85.1,89.9,Placed
